node	descendants	informative_sites
29391	Italy/CAM-TIGEM-2574/2021|EPI_ISL_1039270|2021,Italy/CAM-TIGEM-2576/2021|EPI_ISL_1039401|2021	1103,13684,14067,18186,19816,24378,25088,26256,28251,28254
29395	Italy/CAM-CRGS-399/2021|EPI_ISL_1013548|2021-01-11,Italy/CAM-CRGS-407/2021|EPI_ISL_1013551|2021-01-07,Italy/CAM-CRGS-397/2021|EPI_ISL_1013547|2021-01-09,Italy/CAM-TIGEM-3116/2021|EPI_ISL_1176098|2021,Italy/CAM-TIGEM-3102/2021|EPI_ISL_1176085|2021	5055,5195,5379,6212,11417,13011,13249,13958,14898,14916,24817,24872,27213,28687,28819,28857
29396	Italy/CAM-CRGS-398/2021|EPI_ISL_1366903|2021-01-11,Italy/CAM-CRGS-402/2021|EPI_ISL_1366905|2021-01-18	5055,5195,5379,6212,11417,13011,13249,13958,14898,14916,24817,24872,27213,28687,28819,28857,203,1513,8284,9565,16075,17671,18115,21795,22346,22377,25180,28706,29751,7011,11747,19385,23012,23277,24751,25000,27143,27484,1744,2005,10287,10440,25614
29398	Italy/CAM-CRGS-494/2021|EPI_ISL_1361545|2021-02-09	2449,2973,3695,5055,5195,5379,6212,6672,8284,9805,11344,11956,13249,13958,14649,14898,14916,16057,23416,24817,25693,25708,25916,27944,28687,28695
29399	Italy/CAM-CRGS-491/2021|EPI_ISL_1361542|2021-02-04	5055,6652,8284,13249,19095,21466,24523,24817,26492,28687,1513,6212,13787,21255,26474,29751
29400	Italy/CAM-CRGS-492/2021|EPI_ISL_1361543|2021-02-05	5055,6652,8284,13249,19095,24523,24817,26474,28687,1513,6212,13787,21255,22346,22377,29751,1744,2005,2449,5195,5379,6672,10287,10440,11747,13958,14898,14916,21466,25000,25614,27143
29401	Italy/CAM-CRGS-461/2021|EPI_ISL_1361512|2021-02-16,Italy/CAM-CRGS-467/2021|EPI_ISL_1361518|2021-02-23	5055,6652,8284,13249,19095,21466,24523,24817,26492,28687,26474,1513,6212,13787,21255,22346,22377,29751,5530,5698,6286,26801,27862,28932,203,2449,5195,5379,6672,9565,13958,14898,14916,16075,17671,18115,21795,25180,28706,7011,11747,19385,23012,23277,24751,25000,27143,27484,1744,2005,10287,10440,25614
29402	Italy/CAM-CRGS-461/2021|EPI_ISL_1361512|2021-02-16,Italy/CAM-CRGS-467/2021|EPI_ISL_1361518|2021-02-23	5530,5698,6212,6286,8284,13249,13787,21255,26801,27862,28932,884,6652,10394,19095,26474,28881,28882,28883,11132,26492,2449,8140,27982,1513,3732,5195,5379,6672,10196,11747,11866,13958,14898,14916,20342,21466,22346,22377,25000,25614,27143,29751
29501	Italy/CAM-CRGS-524/2021|EPI_ISL_1361575|2021-02-17,Italy/CAM-CRGS-520/2021|EPI_ISL_1361571|2021-02-16	5055,5195,5379,6212,11417,13011,13249,13958,14898,14916,24817,24872,27213,28687,28819,28857
29895	England/TFCI-26FCE5C/2020|20-12-09,England/TFCI-26FF76D/2020|20-12-05,England/TFCI-26FB5FE/2020|EPI_ISL_816985|2020-12-09,England/TFCI-26FAFC4/2020|EPI_ISL_816918|2020-12-09	445,1059,4582,4876,5298,6026,6286,7291,10319,10870,11387,11451,12163,12970,14478,16722,18424,18657,21255,21304,21800,21811,22053,22227,22346,23592,24967,25563,25907,26801,27964,28472,28869,28903,28932,29144,29194,29377,29645
30051	Switzerland/BE-ETHZ-400061/2020|OD998765.1|2020-12-05	4331,16529,20661,21255,24780,24814,25757,27644,29366,29645
30305	Spain/MD-ISCIII-2014630/2020|EPI_ISL_691713|2020-08-18	205,241,445,1163,1684,6286,15543,19017,26801,28881,28882,28883,28932,29171,29645
30306	Spain/MD-IBV-99023495/2020|EPI_ISL_1323007|2020-12-29,Spain/MD-IBV-99023388/2020|EPI_ISL_1323092|2020-12-30	205,241,445,1163,1684,6286,15543,19017,26801,28881,28882,28883,28932,29171,29645
30452	Spain/CT-IBV-99009904/2020|EPI_ISL_660301|2020-08-08,Spain/CT-IBV-99009913/2020|EPI_ISL_660310|2020-08-10,Spain/CT-IBV-97009580/2020|EPI_ISL_683634|2020-08-28,Spain/MD-ISCIII-212113/2021|EPI_ISL_1511237|2021-02-23,Spain/CT-IBV-99012662/2020|EPI_ISL_949241|2020-08-21,Spain/CT-IBV-97011996/2020|EPI_ISL_855482|2020-09-17,Spain/CT-IBV-99009911/2020|EPI_ISL_660308|2020-08-10,Spain/CT-IBV-99009925/2020|EPI_ISL_660321|2020-08-13,Spain/CT-ISCIII-2016657/2020|EPI_ISL_802748|2020-09-20,Spain/CT-IBV-99009892/2020|EPI_ISL_660289|2020-08-07	1473,2973,3695,5170,6818,9805,11132,27944,27982,28695
30664	Italy/CAM-TIGEM-4042/2021|EPI_ISL_1185542|2021,Italy/CAM-TIGEM-1554/2020|EPI_ISL_960560|2020-12-27,Italy/CAM-TIGEM-4678/2021|EPI_ISL_1254766|2021-01-22,Switzerland/TI-ETHZ-461146/2021|OU007587.1|2021-01-19,Italy/CAM-TIGEM-1563/2020|EPI_ISL_960561|2020-12-27,Italy/CAM-TIGEM-4427/2021|EPI_ISL_1196936|2021,Italy/CAM-TIGEM-4689/2021|EPI_ISL_1254777|2021-01-22,Italy/CAM-TIGEM-6367/2021|EPI_ISL_1424345|2021-01-15,Italy/CAM-TIGEM-4690/2021|EPI_ISL_1254778|2021-01-22,Italy/CAM-TIGEM-6352/2021|EPI_ISL_1424334|2021-01-15	5195,5379,6212,6652,6672,13958,14898,14916,18714,24904,25587,28114
30677	Italy/CAM-TIGEM-4903/2021|EPI_ISL_1254966|2021-01-14,Italy/CAM-TIGEM-4154/2021|EPI_ISL_1185646|2021,Italy/CAM-TIGEM-4795/2021|EPI_ISL_1254871|2021-01-21,Italy/CAM-TIGEM-4949/2021|EPI_ISL_1255010|2021-01-12,Italy/CAM-TIGEM-4710/2021|EPI_ISL_1254796|2021-01-23,Italy/CAM-TIGEM-4908/2021|EPI_ISL_1254970|2021-01-15,Italy/CAM-TIGEM-4331/2021|EPI_ISL_1186221|2021,Italy/CAM-TIGEM-4717/2021|EPI_ISL_1254803|2021-01-15,Italy/CAM-TIGEM-IZSM-COLLI-6792/2021|EPI_ISL_1447904|2021-03-17,Italy/CAM-TIGEM-3378/2021|EPI_ISL_1173274|2021	343,1513,5170,5195,5379,6212,6652,6672,8140,11132,13958,14898,14916,16075,17671,18714,21466,22346,22377,23587,23608,24904,25180,25587,27982,28114,28706,29751
30688	Italy/CAM-CRGS-578/2021|EPI_ISL_1361630|2021-02-06	222,343,3614,5170,5195,5379,5672,6212,6321,8140,11132,12067,13958,14898,14916,18714,20661,22326,23587,23593,23608,24904,25587,26217,26706,27982,28114,29366,29386,1513,6652,6672,16075,17671,21466,22346,22377,25180,28706,29751
30689	Italy/CAM-CRGS-576/2021|EPI_ISL_1361628|2021-02-10,Italy/CAM-CRGS-577/2021|EPI_ISL_1361629|2021-02-06	5195,5379,6212,6652,6672,13958,14898,14916,18714,24904,25587,28114
30691	Italy/CAM-CRGS-381/2021|EPI_ISL_1366898|2021-01-03,Italy/CAM-CRGS-380/2021|EPI_ISL_1366897|2021-01-03,Italy/CAM-CRGS-466/2021|EPI_ISL_1361517|2021-02-22	2449,5698,6652,8140,8284,11132,13249,26492,27982
30692	Italy/CAM-CRGS-381/2021|EPI_ISL_1366898|2021-01-03,Italy/CAM-CRGS-380/2021|EPI_ISL_1366897|2021-01-03	222,3614,5195,5379,5672,5959,6212,6321,6672,8140,11132,12067,13958,14898,14916,20661,21466,22326,23593,26217,26706,27982,29366,29386
30693	Italy/CAM-CRGS-466/2021|EPI_ISL_1361517|2021-02-22	884,6212,6286,6652,8284,10394,11132,13249,13787,21255,26474,26492,27862,28881,28882,28883,2449,5698,8140,27982
30695	Italy/CAM-CRGS-447/2021|EPI_ISL_1366918|2021-01-13,Italy/CAM-CRGS-445/2021|EPI_ISL_1366917|2021-01-13	222,2449,3614,5195,5379,5672,5959,6212,6321,6672,12067,13958,14898,14916,19095,20661,21466,22326,23593,26217,26492,26706,29366,29386,5055,6652,8284,13249,24523,24817,28687,26474,884,6286,10394,13787,21255,27862,28881,28882,28883
31122	Spain/CT-HUVH-90118/2021|EPI_ISL_1116589|2021-02-15	5170,11132,15652,20262,21191,27982,28881,28882,28883,28932,28977
31141	England/QEUH-B0F947/2020|OB991092.1|2020-11-02,England/QEUH-B68A0D/2020|OC998701.1|2020-11-11,England/ALDP-A85B26/2020|OB985903.1|2020-10-17,England/ALDP-A51868/2020|OA996242.1|2020-10-07	445,913,3267,4006,5170,5986,6286,6954,11132,17850,21255,22227,22264,23063,23271,23604,23709,24914,26526,26801,27972,28048,28111,28280,28281,28282
32022	Spain/MD-IBV-98015561/2021|EPI_ISL_1009063|2021-01-19,Denmark/DCGC-29397/2021|EPI_ISL_843444|2021-01-04,Netherlands/NH-RIVM-11697/2021|EPI_ISL_1014424|2021-01-26,Spain/MD-IBV-99023326/2021|EPI_ISL_1272562|2021-02-11,Netherlands/GR-UMCG-MMB_249/2021|EPI_ISL_1712634|2021-01-29,Spain/MD-IBV-98021215/2021|EPI_ISL_1671397|2021-02-02,Spain/MD-IBV-98021189/2021|EPI_ISL_1938979|2021-01-05	445,913,3267,3802,5170,5388,5986,6286,6636,6954,10870,11132,14676,15279,16176,17172,17615,20102,20178,20409,20410,20412,20414,20415,20416,21255,22227,23063,23271,23604,23709,24506,24914,25904,26801,27972,28048,28111,28134,28280,28281,28282,28690,28881,28882,28883,28932,28977,29367,29645
32026	Spain/MD-14004104/2021|EPI_ISL_1754129|2021-04,Spain/MD-IBV-99023069/2021|EPI_ISL_1272407|2021-01-27	445,913,3267,3802,5170,5388,5986,6286,6636,6954,10870,11132,14676,15279,16176,17172,17615,20102,20178,20409,20410,20412,20414,20415,20416,21255,22227,23063,23271,23604,23709,24506,24914,25904,26801,27972,28048,28111,28134,28280,28281,28282,28690,28881,28882,28883,28932,28977,29367,29645,21302,21304,21305
32924	Sweden/7405059101/2021|EPI_ISL_1618105|2021-02-02	204,345,1513,11396,15573,15763,18570,20235,21614,22205,22346,22377,27382,27383,27384,27881,27944,28378,29757
32925	Sweden/SE00215908/2021|EPI_ISL_1198753|2021-02-03,Sweden/SE00204084/2021|EPI_ISL_1198576|2021-02-01,Sweden/SE00215281/2021|EPI_ISL_1198747|2021-02-03,Sweden/SE00211561/2021|EPI_ISL_1198731|2021-02-02	204,345,1513,11396,15573,15763,18570,20235,21614,22205,22346,22377,27382,27383,27384,27881,27944,28378,29757
33068	Croatia/1655/2021|EPI_ISL_2311825|2021-03-09	1190,1513,2062,2113,6285,8032,8242,9559,9802,11200,15403,16995,20322,22346,22377,22917,24138,25567,27972,28048,28111,28254,28280,28281,28282,28881,28882,28883,28932,28977,29645
33069	Croatia/1095/2021|EPI_ISL_1499550|2021-02-25	1190,1513,2062,2113,6285,8032,8242,9559,9802,11200,15403,16995,20322,22346,22377,22917,24138,25567,27972,28048,28111,28254,28280,28281,28282,28881,28882,28883,28932,28977,29645
33106	Italy/CAM-TIGEM-5282/2021|EPI_ISL_1287663|2021-03-14	445,1513,2062,6285,6286,13712,14193,17679,21255,21910,22227,22346,22377,22992,26801,28068,28851,28881,28882,28883,28932,29645
33131	Italy/CAM-TIGEM-4645/2020|EPI_ISL_1254739|2020-12-20,Italy/CAM-TIGEM-1790/2020|EPI_ISL_960527|2020-12-14,Italy/CAM-TIGEM-1832/2020|EPI_ISL_1049463|2021,Italy/CAM-TIGEM-4029/2021|EPI_ISL_1174000|2020-11-02,Italy/CAM-TIGEM-2177/2020|EPI_ISL_1056883|2021,Italy/CAM-TIGEM-2142/2020|EPI_ISL_1056858|2021,Italy/CAM-TIGEM-2203/2020|EPI_ISL_1056899|2021,Italy/CAM-TIGEM-2660/2021|EPI_ISL_1061374|2021,Italy/CAM-COTUGNO-11614/2020|EPI_ISL_860290|2020-12-21,Italy/CAM-TIGEM-1629/2020|EPI_ISL_960603|2020-12-09	1376,2062,5526,14478,14579,14580,16057,18088,18710,18736,25302,29249,14476,14521,14526,14527,14528,14530,14566,14568,14571,14573
33156	Italy/CAM-CRGS-147/2020|EPI_ISL_935121|2020-11-17,Italy/CAM-CRGS-155/2020|EPI_ISL_935126|2020-11-14	1376,2062,5526,14478,14579,14580,16057,18088,18710,18736,25302,29249,14476,14521,14526,14527,14528,14530,14566,14568,14571,14573
33418	Italy/CAM-TIGEM-2472/2021|EPI_ISL_1039488|2021,Italy/CAM-CRGS-260/2020|EPI_ISL_925131|2020-09-09,Italy/CAM-TIGEM-IZSM-COLLI-9415/2020|EPI_ISL_1692731|2020-09-09,Italy/CAM-TIGEM-IZSM-COLLI-9455/2020|EPI_ISL_1692783|2020-09-09,Italy/CAM-CRGS-260/2020|EPI_ISL_925109|2020-09-09	1376,5526,14476,14579,14580,16057,18710,25302,28706,29108,29249
33419	Italy/CAM-CRGS-261/2020|EPI_ISL_925110|2020-09-09,Italy/CAM-CRGS-261/2020|EPI_ISL_925132|2020-09-09	1376,5526,14476,14579,14580,16057,18710,25302,28706,29108,29249
33444	Italy/CAM-CRGS-289/2020|EPI_ISL_925501|2020-12-03	2449,5195,5379,6212,6652,6672,13958,14898,14916,16075,17671,21466,25180,26474,26492,28706,29751
33447	Italy/CAM-TIGEM-4312/2021|EPI_ISL_1185764|2021	203,1513,5055,5195,5379,6212,8284,9565,13249,14898,14916,16075,17671,18115,21795,22346,22377,24817,25180,28687,28706,29751,2449,6652,6672,13958,21466,26474,26492,7011,11747,19385,23012,23277,24751,25000,27484,2973,3695,9805,27874,27944,28695
33449	Italy/CAM-CRGS-542/2021|EPI_ISL_1361594|2021-01-21	203,1513,5055,5195,5379,6212,8284,9565,13249,14898,14916,16075,17671,18115,21795,22346,22377,24817,25180,28687,28706,29751,2449,6652,6672,13958,21466,26474,26492,7011,11747,19385,23012,23277,24751,25000,27484,2973,3695,9805,27874,27944,28695,27143
33452	Italy/CAM-CRGS-547/2021|EPI_ISL_1361599|2021-01-21	343,1513,5170,5195,5379,6212,6652,6672,8140,11132,13958,14898,14916,16075,17671,18714,21466,22346,22377,23587,23608,24904,25180,25587,27982,28114,28706,29751,2449,26474,26492
33659	Italy/CAM-CRGS-391/2021|EPI_ISL_1013542|2021-01-08,Italy/CAM-TIGEM-2174/2020|EPI_ISL_1056880|2021,Italy/CAM-TIGEM-2966/2021|EPI_ISL_1061218|2021	180,2449,5008,5195,5379,6212,6652,6672,7876,9935,13958,14898,14916,21466,25440,26474,26492,28436,29751
33661	Italy/CAM-CRGS-563/2021|EPI_ISL_1361615|2021-01-20,Italy/CAM-CRGS-561/2021|EPI_ISL_1361613|2021-01-20,Italy/CAM-CRGS-557/2021|EPI_ISL_1361609|2021-01-22,Italy/CAM-CRGS-562/2021|EPI_ISL_1361614|2021-01-20	180,2449,5008,5195,5379,6212,6652,6672,7876,9935,13958,14898,14916,21466,25440,26474,26492,28436,29751,1744,2005,10287,10440,11747,25000,25614,27143
33722	Italy/CAM-CRGS-277/2020|EPI_ISL_882674|2020-12-03	445,1376,1513,4255,5526,6286,14521,14526,14527,14530,14566,14571,14573,16057,18710,21255,22227,22346,22377,25302,26530,26801,28932,29249,29645
33723	Italy/CAM-CRGS-286/2020|EPI_ISL_925500|2020-12-03,Italy/CAM-CRGS-285/2020|EPI_ISL_925499|2020-12-03	445,1376,1513,5526,6286,14521,14526,14527,14530,14566,14571,14573,16057,18710,21255,22227,22346,22377,25302,26530,26801,28932,29249,29645,2062,14478,14579,14580,18088,18736,14476,28706,29108,4255,14528,14568
33724	Italy/CAM-CRGS-259/2020|EPI_ISL_925108|2020-10-19,Italy/CAM-CRGS-259/2020|EPI_ISL_925130|2020-10-19	1376,2062,5526,14476,14478,14521,14526,14527,14528,14530,14566,14568,14571,14573,14579,14580,16057,18088,18710,18736,25302,29249
33892	Australia/QLD1278/2020|EPI_ISL_693279|2020-03-21,Italy/CAM-COTUGNO-18279/2021|EPI_ISL_852630|2021-01-02,Italy/CAM-TIGEM-4492/2021|EPI_ISL_1196987|2021,Scotland/QEUH-9CE481/2020|OB981805.1|2020-09-17,Italy/LAZ-AMC-2009285102-DS/2020|EPI_ISL_1855087|2020-09-28,Italy/LAZ-AMC-200928271-DS/2020|EPI_ISL_1855076|2020-09-28,Scotland/EDB7757/2020|20-09-10,Scotland/EDB8342/2020|20-10-04,Italy/LAZ-AMC-20090857754-DS/2020|EPI_ISL_1855018|2020-09-08,Scotland/QEUH-9CE445/2020|OA999769.1|2020-09-17	1744,5195,5379,6212,6652,6672,10287,14898,14916,21466,25614
33942	Switzerland/VD-ETHZ-451740/2021|OU007910.1|2021-01-13,Portugal/PT3047/2021|EPI_ISL_1164339|2021-01-25	232,445,590,739,805,934,1513,6286,11747,13429,15755,18115,19017,19962,20742,21255,22227,22346,22377,23868,25000,25207,25806,26529,26801,27143,28881,28882,28883,28932,28948,29645,29751
33943	Portugal/PT5227/2021|EPI_ISL_1494890|2021-02-08	232,445,590,739,805,934,1513,6286,11747,13429,15755,18115,19017,19962,20742,21255,22227,22346,22377,23868,25000,25207,25806,26529,26801,27143,28881,28882,28883,28932,28948,29645,29751
34021	Italy/CAM-TIGEM-4794/2021|EPI_ISL_1254870|2021-01-21,Italy/CAM-TIGEM-4682/2021|EPI_ISL_1254770|2021-01-22,Italy/CAM-TIGEM-4902/2021|EPI_ISL_1254965|2021-01-14,Italy/CAM-TIGEM-4988/2021|EPI_ISL_1255047|2021-01-09,Italy/CAM-TIGEM-4900/2021|EPI_ISL_1254964|2021-01-14,Italy/CAM-TIGEM-4913/2021|EPI_ISL_1254975|2021-01-14,Italy/CAM-TIGEM-6157/2021|EPI_ISL_1424155|2021-01-10,Italy/CAM-TIGEM-4912/2021|EPI_ISL_1254974|2021-01-14,Italy/CAM-TIGEM-4731/2021|EPI_ISL_1254815|2021-01-15,Italy/CAM-TIGEM-6173/2021|EPI_ISL_1424170|2021-01-09	1744,5195,5379,6212,10287,14898,14916,19385,21466,23012,23277,24751,25614,27484
34028	Italy/CAM-TIGEM-6390/2021|EPI_ISL_1424365|2021-01-21,Italy/CAM-TIGEM-6355/2021|EPI_ISL_1424337|2021-01-15,Italy/CAM-TIGEM-6203/2021|EPI_ISL_1424199|2021-01-13,Italy/CAM-TIGEM-4847/2021|EPI_ISL_1254916|2021-01-16,Italy/CAM-TIGEM-6180/2021|EPI_ISL_1424177|2021-01-09,Italy/CAM-TIGEM-4985/2021|EPI_ISL_1255044|2021-01-09,Italy/CAM-TIGEM-6370/2021|EPI_ISL_1424348|2021-01-14,Italy/CAM-TIGEM-6377/2021|EPI_ISL_1424355|2021-01-15,Italy/CAM-TIGEM-6220/2021|EPI_ISL_1424215|2021-01-09,Italy/CAM-TIGEM-1344/2020|EPI_ISL_837496|2020-12-26	1513,5055,5195,5379,6212,7011,8284,11747,13249,14898,14916,19385,22346,22377,23012,23277,24751,24817,25000,27143,27484,28687,29751,2449,6652,6672,13958,21466,26474,26492,203,9565,16075,17671,18115,21795,25180,28706
34030	Italy/CAM-CRGS-571/2021|EPI_ISL_1361623|2021-01-24	203,5195,5379,6212,7011,9565,11747,14898,14916,16075,17671,18115,19385,21795,23012,23277,24751,25000,25180,27484,28706,29751,1513,5055,8284,13249,22346,22377,24817,27143,28687,2449,6652,6672,13958,21466,26474,26492,1744,10287,25614
34145	Italy/CAM-CRGS-406/2021|EPI_ISL_1013550|2021-01-08,Italy/CAM-CRGS-394/2021|EPI_ISL_1013545|2021-01-09,Italy/CAM-CRGS-396/2021|EPI_ISL_1013546|2021-01-09,Italy/CAM-CRGS-409/2021|EPI_ISL_1013552|2021-01-09,Italy/CAM-CRGS-393/2021|EPI_ISL_1013544|2021-01-09	1513,2449,3732,5195,5379,5698,6212,6652,6672,8284,10196,11747,11866,13249,13958,14898,14916,20342,21466,22346,22377,25000,25614,26492,27143,29751
34146	Italy/CAM-CRGS-395/2021|EPI_ISL_1366902|2021-01-09,Italy/CAM-CRGS-401/2021|EPI_ISL_1366904|2021-01-16,Italy/CAM-CRGS-408/2021|EPI_ISL_1366908|2021-01-09	1513,2449,3732,5195,5379,5698,6212,6652,6672,8284,10196,11747,11866,13249,13958,14898,14916,20342,21466,22346,22377,25000,25614,26492,27143,29751
34215	Italy/CAM-TIGEM-4327/2021|EPI_ISL_1186220|2021,Italy/CAM-TIGEM-4372/2021|EPI_ISL_1186237|2021,Italy/CAM-CRGS-685/2021|EPI_ISL_1577318|2021-02-13	362,2449,3903,5195,5379,6116,6212,6652,6672,7401,13958,14898,14916,21466,26474,26492,26651,27143,28300
34222	Italy/CAM-TIGEM-3432/2021|EPI_ISL_1173318|2021,Italy/CAM-TIGEM-3731/2021|EPI_ISL_1173593|2021,Italy/CAM-TIGEM-3659/2021|EPI_ISL_1173528|2021	1513,1744,2005,5055,5195,5379,6212,8284,10287,10440,11747,13249,14898,14916,22346,22377,24817,25000,25614,27143,28687,29751,2449,6652,6672,13958,21466,24523,26474,26492,180,5008,7876,9935,25440,28436
34226	Italy/CAM-CRGS-370/2020|EPI_ISL_1366891|2020-12-29	1513,1744,2005,5055,5195,5379,6212,8284,10287,10440,11747,13249,14898,14916,22346,22377,24817,25000,25614,27143,28687,29751,2449,6652,6672,13958,21466,24523,26474,26492,180,5008,7876,9935,25440,28436
34227	Italy/CAM-CRGS-543/2021|EPI_ISL_1361595|2021-01-21	1744,5195,5379,6212,10287,14898,14916,19385,21466,23012,23277,24751,25614,27484,6652,6672,11747,22346,25000,27143,29751,7011
34228	Italy/CAM-CRGS-372/2020|EPI_ISL_1366893|2020-12-31,Italy/CAM-CRGS-552/2021|EPI_ISL_1361604|2021-01-21,Italy/CAM-CRGS-553/2021|EPI_ISL_1361605|2021-01-21	5379,6212,6652,6672,7011,14898,14916,19385,21466,23012,23277,24751,27143,27484,1744,5195,10287,11747,22346,25000,25614,29751
34232	Italy/CAM-CRGS-410/2020|EPI_ISL_1366909|2020-12-27,Italy/CAM-CRGS-475/2021|EPI_ISL_1361526|2021-02-12	1513,5055,6212,8284,13249,13787,21255,22346,22377,24523,24817,28687,29751
34233	Italy/CAM-CRGS-410/2020|EPI_ISL_1366909|2020-12-27	1513,2449,2973,3695,5195,5379,6212,6652,6672,9805,13787,13958,14898,14916,21466,22346,22377,26474,26492,27874,27944,28695,29751
34234	Italy/CAM-CRGS-490/2021|EPI_ISL_1361541|2021-02-04	2449,5195,5379,6212,6652,6672,13958,14898,14916,16075,17671,21466,25180,26474,26492,28706,29751,180,5008,7876,9935,25440,28436
34235	Italy/CAM-CRGS-499/2021|EPI_ISL_1361550|2021-01-31,Italy/CAM-CRGS-471/2021|EPI_ISL_1361522|2021-02-12,Italy/CAM-CRGS-474/2021|EPI_ISL_1361525|2021-02-12	362,2449,3903,5195,5379,6116,6212,6652,6672,7401,13958,14898,14916,21466,26474,26492,26651,27143,28300
34237	Italy/CAM-CRGS-474/2021|EPI_ISL_1361525|2021-02-12	362,2449,3903,5195,5379,6116,6212,6652,6672,7401,13958,14898,14916,21466,26474,26492,26651,27143,28300
34248	Italy/CAM-CRGS-475/2021|EPI_ISL_1361526|2021-02-12	1513,5055,6212,8284,13249,13787,21255,21466,24523,24817,26474,26492,28687,29751,445,884,6286,6954,10394,10507,14646,16176,19185,22227,26801,27972,28111,28195,28690,28881,28882,28883,28932,28977,29645,27862
34249	Italy/CAM-CRGS-533/2021|EPI_ISL_1361584|2021-02-13,Italy/CAM-CRGS-483/2021|EPI_ISL_1361534|2021-02-08	445,884,1513,6286,6954,10394,10507,14646,16176,19185,22227,26801,27972,28111,28195,28690,28881,28882,28883,28932,28977,29645,6212,8284,13249,21255,27862,29751,2449,5195,5379,5698,6652,6672,13787,13958,14898,14916,21466,26474,26492,826,858,1798,2986,3876,5346,5530,8374,14480,14580,17019,19369,19650,23403,26664,1059,4320,25563,23119,23120,23122,913,3267,5388,5986,14408
34250	Italy/CAM-CRGS-533/2021|EPI_ISL_1361584|2021-02-13	884,2449,5195,5379,5698,6286,6652,6672,10394,13787,13958,14898,14916,21255,21466,26474,26492,27862,445,826,858,1798,2986,3876,5346,5530,8374,14480,14580,17019,19369,19650,22227,23403,26664,26801,28881,28882,28883,28932,29645
34251	Italy/CAM-CRGS-530/2021|EPI_ISL_1361581|2021-02-09,Italy/CAM-CRGS-529/2021|EPI_ISL_1361580|2021-02-07	884,6212,6286,6652,8284,10394,13249,13787,19095,21255,26474,27862,28881,28882,28883,11132,26492
34253	Greece/COV-8/2020|EPI_ISL_2232057|2020,Greece/COV-26/2020|EPI_ISL_2232053|2020	5530,5698,6212,6286,8284,13249,13787,21255,26801,27862,28932,445,1059,2449,4320,5195,5379,6652,6672,13958,14898,14916,21466,22227,25563,26474,26492,29645,23119,23120,23122,913,3267,5388,5986,6954,14408,23403,313,2986,5346,5547,6989,14731,14747,19185,21269,26916,27067,28044,28375,28526,28881,28882,28883,5718,10507,11291,11296,11356,13059,14646,14676,15279,16176,23063,23271,23604,23709,24914,27972,28111,28690
34254	Greece/COV-7/2020|EPI_ISL_2232056|2020,Greece/COV-25/2020|EPI_ISL_2232052|2020	826,858,1059,1798,2449,2986,3876,5195,5346,5379,5530,5547,5698,6652,6672,8374,10319,13787,13958,14480,14580,14898,14916,16710,17019,19369,19650,20176,21466,23403,24274,25121,25563,26474,26492,26664,27862,28881,28882,28883
34255	Greece/COV-4/2020|EPI_ISL_2232055|2020,Greece/COV-22/2020|EPI_ISL_2232051|2020,Greece/COV-21/2020|EPI_ISL_2232050|2020	445,826,858,884,1798,2986,3876,5346,5530,8374,10394,14480,14580,17019,19369,19650,22227,23403,26664,26801,28881,28882,28883,28932,29645,1059,2449,5195,5379,5547,5698,6652,6672,10319,13787,13958,14898,14916,16710,20176,21466,24274,25121,25563,26474,26492,27862
34260	Greece/COV-3/2020|EPI_ISL_2232054|2020	313,2986,5346,5547,6989,14731,14747,19185,21269,26916,27067,28044,28375,28526,28881,28882,28883
34261	Greece/COV-19/2020|EPI_ISL_2232047|2020,Greece/COV-1/2020|EPI_ISL_2232046|2020	313,2986,5346,5547,6989,14731,14747,19185,21269,26916,27067,28044,28375,28526,28881,28882,28883
34319	Italy/ABR-IZSGC-182092/2021|EPI_ISL_1577938|2021-03-26,Italy/ABR-IZSGC-175416/2021|EPI_ISL_1502465|2021-03-23	348,445,925,1513,2953,5629,6286,9526,9721,11497,11747,13993,15766,21255,22227,22346,22377,23996,25563,26801,27143,28312,28376,28932,28975,29645,29751
34338	Italy/LAZ-INMI-292/2021|EPI_ISL_1169884|2021-02-18,Italy/LAZ-INMI-163/2021|EPI_ISL_882941|2021-01-12,Italy/LAZ-INMI-265/2021|EPI_ISL_1091280|2021-02-13,Italy/LAZ-INMI-193/2021|EPI_ISL_965140|2021-01-19	1094,1513,7743,9430,10207,11572,11747,12439,13515,22346,22377,25000,25413,25445,25572,25573,25574,27143,27944,29119,29402,29751
34340	Italy/LAZ-INMI-265/2021|EPI_ISL_1091280|2021-02-13,Italy/LAZ-INMI-193/2021|EPI_ISL_965140|2021-01-19	1094,1513,7743,9430,10207,11572,11747,12439,13515,22346,22377,25000,25413,25445,25572,25573,25574,27143,27944,29119,29402,29751
34475	Germany/ST-RKI-I-020327/2021|EPI_ISL_1150490|2021-02-15,Germany/ST-RKI-I-020347/2021|EPI_ISL_1150510|2021-02-16,Germany/ST-RKI-I-020365/2021|EPI_ISL_1150528|2021-02-16	186,204,445,1513,4540,5622,6040,11747,12357,14592,16795,18994,21614,22346,22377,26152,26801,27870,27944
34478	Germany/ST-RKI-I-020347/2021|EPI_ISL_1150510|2021-02-16,Germany/ST-RKI-I-020365/2021|EPI_ISL_1150528|2021-02-16	186,204,445,1513,4540,5622,6040,11747,12357,14592,16795,18994,21614,22346,22377,26152,26801,27870,27944
